labeling_type,dosage_form,route_of_administration,marketing_category,application_number,proprietaryname,generic_proper_name,spl_effective_date ,established_pharmacologic_class,initia_us_approval,company,marketing_date,ndc,active_ingredient_unii,active_ingredients,active_moiety_names,active_moiety_unii
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCONJUNCTIVAL; SUBCUTANEOUS,BLA,102223,A Mold Mixture; Absidia ramosa; Acrothecium robustum; Alternaria alternata; Aspergillus Mixture; Aspergillus flavus; Aspergillus fumigatus; Aspergillus niger; Aspergillus repens; B Mold Mixture,A MOLD MIXTURE; ABSIDIA RAMOSA; ACROTHECIUM ROBUSTUM; ALTERNARIA ALTERNATA; ASPERGILLUS FLAVUS; ASPERGILLUS FUMIGATUS; ASPERGILLUS MIXTURE; ASPERGILLUS NIGER; ASPERGILLUS REPENS; B MOLD MIXTURE,11/17/2009,Non-Standardized Bacterial Allergenic Extract; Non-Standardized Food Allergenic Extract; Non-Standardized Fungal Allergenic Extract,,ANTIGEN LABORATORIES INC,1974/03/23-; 1974/04/23-; 1977/09/09-; 1992/04/13-; 1997/09/09-,49288-0001; 49288-0002; 49288-0003; 49288-0004; 49288-0005; 49288-0006; 49288-0007; 49288-0008; 49288-0030; 49288-0031; 49288-0032; 49288-0033; 49288-0035; 49288-0036; 49288-0037; 49288-0038; 49288-0039; 49288-0064; 49288-0065; 49288-0066,0N3Z1P4B2W; 0V3J4YEX2W; 15W81V867R; 17RH99LQ7G; 199I7J3JIV; 1M4E76V32I; 1X92VM01YP; 1XSC3BB35Z; 2072U60DUI; 2VWV12V9WR; 2ZAU32517N; 3F36V0451W; 3J888Y9L13; 3LN5B70U4W; 3Y1PE1GCIG; 41Y752Y34M; 49VI1ZSO06; 4D7G21HDBC; 4K7Z7K7SWG; 4ZWY20GTGO,ACREMONIUM STRICTUM; ACROTHECIUM ROBUSTUM; ALTERNARIA ALTERNATA; APIOSPORA MONTAGNEI; ASPERGILLUS FLAVUS; ASPERGILLUS FUMIGATUS; ASPERGILLUS NIGER VAR. NIGER; ASPERGILLUS REPENS; AUREOBASIDIUM PULLULANS VAR. PULLUTANS; BOTRYTIS CINEREA,ACREMONIUM STRICTUM; ACROTHECIUM ROBUSTUM; ALTERNARIA ALTERNATA; APIOSPORA MONTAGNEI; ASPERGILLUS FLAVUS; ASPERGILLUS FUMIGATUS; ASPERGILLUS NIGER VAR. NIGER; ASPERGILLUS REPENS; AUREOBASIDIUM PULLULANS VAR. PULLUTANS; BOTRYTIS CINEREA,0N3Z1P4B2W; 0V3J4YEX2W; 15W81V867R; 17RH99LQ7G; 199I7J3JIV; 1M4E76V32I; 1X92VM01YP; 1XSC3BB35Z; 2072U60DUI; 2VWV12V9WR; 2ZAU32517N; 3F36V0451W; 3J888Y9L13; 3LN5B70U4W; 3Y1PE1GCIG; 41Y752Y34M; 49VI1ZSO06; 4D7G21HDBC; 4K7Z7K7SWG; 4ZWY20GTGO
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION; INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,125118,ORENCIA,ABATACEPT,5/29/2024,Selective T Cell Costimulation Modulator,2005,E R SQUIBB AND SONS L L C,2009/01/01-; 2011/07/29-,0003-2187; 0003-2188; 0003-2814; 0003-2818,7D0YB67S97,ABATACEPT; abatacept,ABATACEPT; abatacept,7D0YB67S97
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",PERCUTANEOUS; SUBCUTANEOUS,BLA,101376;101387;102192,"2-OAK MIX, RED/WHITE POLLEN; 3-OAK MIX, BLACK/BLACKJACK/POST POLLEN; 3-RAGWEED MIX, GIANT/SHORT/WESTERN POLLEN; 4-PINE MIX, AUSTRIAN/LOBLOLLY/SCOTCH/WHITE POLLEN; 5-OAK MIX, BLACKJACK/BUR/POST/RED/WHITE POLLEN; ACACIA POLLEN; ALFALFA POLLEN; ALMOND; ALTERNARIA TENUIS ALTERNATA; AMERICAN BEECH POLLEN",ABSIDIA CAPILLATA AND ACROTHECIUM ROBUSTUM AND MICROSPORUM AUDOUINII AND MICROSPORUM CANIS AND APIOSPORA MONTAGNEI AND PHYCOMYCES BLAKESLEEANUS AND SPOROTRICHUM PRUINOSUM AND STACHYBOTRYS CHARTARUM AN; ACACIA; ACER NEGUNDO POLLEN; ACER SACCHARUM POLLEN; ACER SACCHARUM POLLEN AND ACER SACCHARINUM POLLEN AND ACER RUBRUM POLLEN; ACREMONIUM STRICTUM; AEDES TAENIORHYNCHUS; AGROSTIS STOLONIFERA POLLEN; AILANTHUS ALTISSIMA POLLEN; ALMOND,3/11/2011,Non-Standardized Animal Hair Allergenic Extract; Non-Standardized Animal Skin Allergenic Extract; Non-Standardized Bacterial Allergenic Extract; Non-Standardized Feather Allergenic Extract; Non-Standardized Food Allergenic Extract; Non-Standardized Fungal Allergenic Extract; Non-Standardized House Dust Allergenic Extract; Non-Standardized Insect Allergenic Extract; Non-Standardized Insect Venom Allergenic Extract; Non-Standardized Plant Allergenic Extract; Non-Standardized Plant Fiber Allergenic Extract; Non-Standardized Pollen Allergenic Extract; Standardized Pollen Allergenic Extract,,ALLERGY LABORATORIES INC,1967/12/07-; 1972/08/29-; 1982/01/26-,54575-081; 54575-082; 54575-083; 54575-085; 54575-088; 54575-089; 54575-090; 54575-091; 54575-093; 54575-094; 54575-095; 54575-096; 54575-098; 54575-101; 54575-104; 54575-105; 54575-109; 54575-110; 54575-113; 54575-114,02WM57RXZJ; 030R993R8E; 05S7L91ZTR; 065C5D077J; 07A108ZKW5; 098LKX5NCN; 09N62XQ70Y; 0E5AT8T16U; 0G82TT8ZFY; 0MGE63QPFJ; 0MVO31Q3QS; 0N8672707O; 0R4AQI398X; 0V3J4YEX2W; 0WLY635722; 0X3XUJ41IX; 0X8Q245Y7B; 112YH1ZMX2; 138LUT2DWV; 15VX0351MT,ACACIA; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ACREMONIUM STRICTUM; ACROTHECIUM ROBUSTUM; AEDES TAENIORHYNCHUS; AGROSTIS STOLONIFERA POLLEN; AILANTHUS ALTISSIMA POLLEN,ACACIA; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ACREMONIUM STRICTUM; ACROTHECIUM ROBUSTUM; AEDES TAENIORHYNCHUS; AGROSTIS STOLONIFERA POLLEN; AILANTHUS ALTISSIMA POLLEN,02WM57RXZJ; 030R993R8E; 05S7L91ZTR; 065C5D077J; 07A108ZKW5; 098LKX5NCN; 09N62XQ70Y; 0E5AT8T16U; 0G82TT8ZFY; 0MGE63QPFJ; 0MVO31Q3QS; 0N8672707O; 0R4AQI398X; 0V3J4YEX2W; 0WLY635722; 0X3XUJ41IX; 0X8Q245Y7B; 112YH1ZMX2; 138LUT2DWV; 15VX0351MT
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA; Bulk ingredient,102223,Acacia Pollen; American Beech; American Elm; American Sycamore; Arizona Ash; Arizona Cypress; Ash Mixture; Aspen Pollen; Australian Pine; Austrian Pine,ACACIA POLLEN; AMERICAN BEECH; AMERICAN ELM; AMERICAN SYCAMORE; ARIZONA ASH; ARIZONA CYPRESS; ASH MIXTURE; ASPEN POLLEN; AUSTRALIAN PINE; AUSTRIAN PINE,11/19/2009,Non-Standardized Pollen Allergenic Extract,,ANTIGEN LABORATORIES INC,1974/03/23-; 1974/04/23-; 1976/07/12-; 1977/08/09-; 1977/09/09-,49288-0014; 49288-0015; 49288-0016; 49288-0017; 49288-0018; 49288-0019; 49288-0020; 49288-0021; 49288-0022; 49288-0023; 49288-0056; 49288-0057; 49288-0058; 49288-0059; 49288-0060; 49288-0072; 49288-0073; 49288-0076; 49288-0077; 49288-0078,030R993R8E; 042SUA2DS9; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 17Q05812N1; 1BV28146ZR; 1FH355G8HF; 1L67OBT731; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 2A64U81OQ3; 2WZG2G15WX; 34X886W1H4; 3538FNV8AY; 3I9T68187H; 3R393IX840; 434DQ2U4JX,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; AILANTHUS ALTISSIMA POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; BACCHARIS HALIMIFOLIA POLLEN,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; AILANTHUS ALTISSIMA POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; BACCHARIS HALIMIFOLIA POLLEN,030R993R8E; 042SUA2DS9; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 17Q05812N1; 1BV28146ZR; 1FH355G8HF; 1L67OBT731; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 2A64U81OQ3; 2WZG2G15WX; 34X886W1H4; 3538FNV8AY; 3I9T68187H; 3R393IX840; 434DQ2U4JX
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Acacia; American Beech; American Elm; Arizona Ash; Arizona Cypress; Arroyo Willow; Aspen; Bald Cypress; Balsam Poplar; Bayberry,ACACIA; AMERICAN BEECH; AMERICAN ELM; ARIZONA ASH; ARIZONA CYPRESS; ARROYO WILLOW; ASPEN; BALD CYPRESS; BALSAM POPLAR; BAYBERRY,12/3/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-; 2009/12/04-,36987-2447; 36987-2455; 36987-2463; 36987-2471; 36987-2479; 36987-2487; 36987-2495; 36987-2503; 36987-2511; 36987-2519; 36987-2527; 36987-2535; 36987-2543; 36987-2551; 36987-2559; 36987-2567; 36987-2575; 36987-2583; 36987-2591; 36987-2599,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Acacia; American Beech; American Elm; Arizona Ash; Arizona Cypress; Arroyo Willow; Aspen; Bald Cypress; Balsam Poplar; Bayberry,ACACIA; AMERICAN BEECH; AMERICAN ELM; ARIZONA ASH; ARIZONA CYPRESS; ARROYO WILLOW; ASPEN; BALD CYPRESS; BALSAM POPLAR; BAYBERRY,12/3/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-; 2009/12/04-,36987-2446; 36987-2454; 36987-2462; 36987-2470; 36987-2478; 36987-2486; 36987-2494; 36987-2502; 36987-2510; 36987-2518; 36987-2526; 36987-2534; 36987-2542; 36987-2550; 36987-2558; 36987-2566; 36987-2574; 36987-2582; 36987-2590; 36987-2598,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Acacia; American Beech; American Elm; Arizona Ash; Arizona Cypress; Arroyo Willow; Aspen; Bald Cypress; Balsam Poplar; Bayberry,ACACIA; AMERICAN BEECH; AMERICAN ELM; ARIZONA ASH; ARIZONA CYPRESS; ARROYO WILLOW; ASPEN; BALD CYPRESS; BALSAM POPLAR; BAYBERRY,12/3/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-; 2009/12/04-,36987-2451; 36987-2459; 36987-2467; 36987-2475; 36987-2483; 36987-2491; 36987-2499; 36987-2507; 36987-2515; 36987-2523; 36987-2531; 36987-2539; 36987-2547; 36987-2555; 36987-2563; 36987-2571; 36987-2579; 36987-2587; 36987-2595; 36987-2603,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Acacia; American Beech; American Elm; Arizona Ash; Arizona Cypress; Arroyo Willow; Aspen; Bald Cypress; Balsam Poplar; Bayberry,ACACIA; AMERICAN BEECH; AMERICAN ELM; ARIZONA ASH; ARIZONA CYPRESS; ARROYO WILLOW; ASPEN; BALD CYPRESS; BALSAM POPLAR; BAYBERRY,12/3/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-; 2009/12/04-,36987-2452; 36987-2460; 36987-2468; 36987-2476; 36987-2484; 36987-2492; 36987-2500; 36987-2508; 36987-2516; 36987-2524; 36987-2532; 36987-2540; 36987-2548; 36987-2556; 36987-2564; 36987-2572; 36987-2580; 36987-2588; 36987-2596; 36987-2604,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Acacia; American Beech; American Elm; Arizona Ash; Arizona Cypress; Arroyo Willow; Aspen; Bald Cypress; Balsam Poplar; Bayberry,ACACIA; AMERICAN BEECH; AMERICAN ELM; ARIZONA ASH; ARIZONA CYPRESS; ARROYO WILLOW; ASPEN; BALD CYPRESS; BALSAM POPLAR; BAYBERRY,12/3/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-; 2009/12/04-,36987-2449; 36987-2457; 36987-2465; 36987-2473; 36987-2481; 36987-2489; 36987-2497; 36987-2505; 36987-2513; 36987-2521; 36987-2529; 36987-2537; 36987-2545; 36987-2553; 36987-2561; 36987-2569; 36987-2577; 36987-2585; 36987-2593; 36987-2601,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Acacia; American Beech; American Elm; Arizona Ash; Arizona Cypress; Arroyo Willow; Aspen; Bald Cypress; Balsam Poplar; Bayberry,ACACIA; AMERICAN BEECH; AMERICAN ELM; ARIZONA ASH; ARIZONA CYPRESS; ARROYO WILLOW; ASPEN; BALD CYPRESS; BALSAM POPLAR; BAYBERRY,12/3/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-; 2009/12/04-,36987-2445; 36987-2453; 36987-2461; 36987-2469; 36987-2477; 36987-2485; 36987-2493; 36987-2501; 36987-2509; 36987-2517; 36987-2525; 36987-2533; 36987-2541; 36987-2549; 36987-2557; 36987-2565; 36987-2573; 36987-2581; 36987-2589; 36987-2597,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,ACACIA BAILEYANA POLLEN; ACER MACROPHYLLUM POLLEN; ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN; ACER SACCHARINUM POLLEN; ACER SACCHARUM POLLEN; ALNUS INCANA SUBSP. RUGOSA POLLEN; ALNUS RHOMBIFOLIA POLLEN; ALNUS RUBRA POLLEN; BETULA LENTA POLLEN,02RVY6X9EC; 030R993R8E; 042SUA2DS9; 0G82TT8ZFY; 0MGE63QPFJ; 0U790UB32K; 15L060HV8H; 1BV28146ZR; 1FH355G8HF; 2147EPR64I; 232DMH0XVF; 23H70FYJ5U; 294L626TT0; 34X886W1H4; 3I9T68187H; 3MDX759C0W; 426RHB4302; 43IR7KR479; 43R41XZ627; 476DVV63WP
